Date,Symbol,Unadjusted_Open,Unadjusted_High,Unadjusted_Low,Unadjusted_Close,Unadjusted_Volume
2007-04-16,LMT,96.34,96.53,95.82,96.0,1671132
2007-04-17,LMT,95.99,96.22,95.65,95.96,1526000
2007-04-18,LMT,95.56,96.77,95.48,96.37,1376000
2007-04-19,LMT,96.95,96.95,95.34,95.63,1539144
2007-04-20,LMT,95.99,96.25,95.37,95.4,2975089
2007-04-23,LMT,95.42,97.88,95.42,97.07,2219800
2007-04-24,LMT,98.34,98.34,93.69,94.82,4305750
2007-04-25,LMT,94.82,95.85,94.0,95.5,3758012
2007-04-26,LMT,95.05,95.25,93.19,93.5,3251151
2007-04-27,LMT,93.81,96.9,93.75,96.69,2798900
2007-04-30,LMT,96.5,97.16,95.99,96.14,2262600
2007-05-01,LMT,96.4,96.53,95.67,96.23,1602494
2007-05-02,LMT,96.56,97.0,96.0,96.07,1646844
2007-05-03,LMT,96.07,96.48,96.05,96.4,1301150
2007-05-04,LMT,96.75,97.0,96.23,96.64,949506
2007-05-07,LMT,97.0,98.17,96.92,98.07,1696162
2007-05-08,LMT,97.76,98.37,97.12,98.22,1509700
2007-05-09,LMT,98.21,99.0,97.8,98.76,1489528
2007-05-10,LMT,98.7,99.47,98.41,98.6,2169100
2007-05-11,LMT,98.66,99.5,98.45,98.84,1460367
2007-05-14,LMT,98.68,99.25,98.3,99.2,1349000
2007-05-15,LMT,99.2,100.05,99.08,99.51,2365300
2007-05-16,LMT,99.79,100.1,99.22,99.64,1537300
2007-05-17,LMT,99.3,99.47,98.36,98.45,1381800
2007-05-18,LMT,98.45,98.66,97.93,98.16,1363200
2007-05-21,LMT,97.81,99.37,97.8,98.79,1888600
2007-05-22,LMT,97.91,97.71,94.0,94.22,4822476
2007-05-23,LMT,94.21,94.89,94.09,94.36,3216273
2007-05-24,LMT,94.38,96.63,94.55,96.21,4232500
2007-05-25,LMT,96.18,97.92,96.18,97.01,2182755
2007-05-29,LMT,97.02,98.43,96.85,98.3,2090516
2007-05-30,LMT,98.3,98.56,96.86,98.22,1921949
2007-05-31,LMT,98.62,98.62,97.21,98.1,1590200
2007-06-01,LMT,98.23,98.6,97.09,97.43,1559200
2007-06-04,LMT,96.98,97.41,96.85,97.2,1076400
2007-06-05,LMT,96.7,96.7,95.11,96.2,2225091
2007-06-06,LMT,96.19,96.99,95.95,96.65,2556500
2007-06-07,LMT,97.54,99.35,95.25,95.25,2227800
2007-06-08,LMT,95.25,96.89,95.02,96.89,1803050
2007-06-11,LMT,96.89,97.06,96.12,96.25,1440100
2007-06-12,LMT,95.8,95.94,95.17,95.25,1782300
2007-06-13,LMT,95.4,95.57,94.54,95.54,2548300
2007-06-14,LMT,95.9,97.46,95.12,97.21,1894375
2007-06-15,LMT,97.55,97.79,96.34,96.55,1865900
2007-06-18,LMT,97.1,97.42,95.21,95.32,1577300
2007-06-19,LMT,95.14,96.99,95.14,96.8,1903400
2007-06-20,LMT,96.8,97.06,95.0,95.09,1666747
2007-06-21,LMT,95.09,95.35,94.65,95.09,2235699
2007-06-22,LMT,94.93,95.0,93.14,93.39,2308595
2007-06-25,LMT,93.79,94.33,93.32,94.02,1918700
2007-06-26,LMT,94.42,94.9,93.72,94.19,2119800
2007-06-27,LMT,93.55,94.75,93.38,94.42,1594200
2007-06-28,LMT,93.58,94.3,93.06,93.4,2249853
2007-06-29,LMT,93.6,94.99,93.45,94.13,2072800
2007-07-02,LMT,94.67,95.38,94.12,94.66,1629400
2007-07-03,LMT,95.33,95.87,94.97,95.47,673600
2007-07-05,LMT,95.85,97.06,95.53,96.7,1857800
2007-07-06,LMT,96.6,96.96,96.25,96.63,1174900
2007-07-09,LMT,96.43,97.59,96.43,96.96,1148713
2007-07-10,LMT,96.35,96.5,94.18,94.18,2076489
2007-07-11,LMT,94.21,95.16,94.11,94.59,1339800
2007-07-12,LMT,95.4,97.39,94.59,97.39,1931200
2007-07-13,LMT,97.5,97.69,96.6,97.34,1281508
2007-07-16,LMT,96.8,97.02,96.12,96.8,1299200
2007-07-17,LMT,96.48,99.14,96.21,98.56,1910001
2007-07-18,LMT,99.41,98.77,96.9,98.49,2072254
2007-07-19,LMT,98.85,99.18,98.55,98.98,1561700
2007-07-20,LMT,98.14,99.17,97.28,97.89,1721500
2007-07-23,LMT,98.68,99.9,98.28,99.52,1685609
2007-07-24,LMT,102.14,107.33,100.42,103.09,8506317
2007-07-25,LMT,104.45,104.69,100.26,101.9,4656549
2007-07-26,LMT,102.39,104.2,99.35,100.58,6135475
2007-07-27,LMT,100.58,101.12,99.27,99.28,2366100
2007-07-30,LMT,99.31,101.63,99.77,100.5,3175300
2007-07-31,LMT,101.75,102.16,98.48,98.48,2843000
2007-08-01,LMT,98.48,102.4,98.55,101.7,2774942
2007-08-02,LMT,102.5,102.76,101.18,102.38,3135500
2007-08-03,LMT,101.68,102.61,99.37,99.37,2296536
2007-08-06,LMT,100.8,101.13,99.38,100.85,1937370
2007-08-07,LMT,100.85,100.25,97.65,98.26,3053956
2007-08-08,LMT,98.26,98.69,93.68,94.67,5366300
2007-08-09,LMT,94.61,95.6,91.19,91.36,7595000
2007-08-10,LMT,90.75,95.93,88.86,94.31,6693930
2007-08-13,LMT,95.52,99.45,95.64,98.0,3994400
2007-08-14,LMT,98.08,98.33,95.51,96.06,2763989
2007-08-15,LMT,96.75,97.17,94.65,94.83,2378182
2007-08-16,LMT,92.1,96.15,92.69,95.5,4047400
2007-08-17,LMT,98.48,98.48,95.28,96.22,2729200
2007-08-20,LMT,96.0,96.97,94.84,96.2,1548300
2007-08-21,LMT,95.1,96.61,94.85,95.51,1493590
2007-08-22,LMT,96.4,98.26,95.31,97.79,2522200
2007-08-23,LMT,98.5,98.75,96.28,96.93,1667100
2007-08-24,LMT,97.34,100.02,97.15,100.02,1834600
2007-08-27,LMT,99.5,102.5,99.12,102.41,2416890
2007-08-28,LMT,102.41,102.14,97.74,97.79,4124500
2007-08-29,LMT,99.52,99.78,98.51,99.71,2146500
2007-08-30,LMT,99.71,99.71,98.35,98.65,1758400
2007-08-31,LMT,99.68,100.33,98.98,99.14,1439100
2007-09-04,LMT,99.25,99.25,97.61,98.82,1787500
2007-09-05,LMT,98.82,99.24,97.39,98.87,2132600
2007-09-06,LMT,98.86,99.23,97.81,98.39,1436300
2007-09-07,LMT,97.5,98.25,96.47,96.64,2133300
2007-09-10,LMT,96.9,98.4,96.71,97.51,1708900
2007-09-11,LMT,97.88,98.53,94.97,97.99,1663200
2007-09-12,LMT,97.56,98.87,97.0,97.62,1629400
2007-09-13,LMT,98.8,100.16,98.37,99.64,2229500
2007-09-14,LMT,99.23,101.57,98.73,101.34,2251300
2007-09-17,LMT,100.34,101.23,99.07,99.41,2619900
2007-09-18,LMT,100.95,102.16,100.28,102.1,2286400
2007-09-19,LMT,102.2,103.39,100.83,101.19,2272100
2007-09-20,LMT,100.99,101.89,100.69,101.04,1660100
2007-09-21,LMT,101.99,103.47,101.04,103.2,2877000
2007-09-24,LMT,103.5,104.01,102.09,102.35,2102250
2007-09-25,LMT,102.0,105.12,102.28,104.96,2604814
2007-09-26,LMT,104.96,107.0,104.42,105.72,3564200
2007-09-27,LMT,105.59,106.89,103.81,106.79,4207050
2007-09-28,LMT,106.85,108.75,106.49,108.49,2847300
2007-10-01,LMT,108.65,109.86,108.06,108.74,3328300
2007-10-02,LMT,108.74,110.31,107.33,107.79,3313600
2007-10-03,LMT,107.11,107.48,106.64,106.95,1833200
2007-10-04,LMT,107.55,109.9,107.05,109.0,2640800
2007-10-05,LMT,109.75,109.99,108.3,108.7,1841000
2007-10-08,LMT,108.4,109.57,108.02,109.0,1342100
2007-10-09,LMT,109.17,111.76,109.01,111.4,2812900
2007-10-10,LMT,111.45,112.0,109.85,110.74,3252300
2007-10-11,LMT,111.6,113.74,111.44,111.88,2600700
2007-10-12,LMT,111.87,112.06,110.76,111.67,1729100
2007-10-15,LMT,111.97,112.11,109.57,110.7,1562700
2007-10-16,LMT,110.88,111.0,109.57,110.68,1611100
2007-10-17,LMT,111.68,111.68,108.57,109.93,2032300
2007-10-18,LMT,109.87,111.04,108.21,109.01,1758900
2007-10-19,LMT,108.46,108.99,106.0,106.16,2922200
2007-10-22,LMT,106.11,107.81,103.64,107.24,2408700
2007-10-23,LMT,107.2,108.39,106.18,106.97,2459500
2007-10-24,LMT,107.0,108.9,103.33,108.02,2437500
2007-10-25,LMT,108.4,111.0,107.75,110.15,2771500
2007-10-26,LMT,108.45,111.1,107.5,108.61,2089000
2007-10-29,LMT,108.61,109.74,108.1,109.24,1369100
2007-10-30,LMT,109.01,110.06,107.86,108.24,1720300
2007-10-31,LMT,108.24,110.28,107.75,110.04,2746800
2007-11-01,LMT,109.0,110.51,108.55,108.83,1893900
2007-11-02,LMT,110.06,110.85,108.78,110.12,1690300
2007-11-05,LMT,108.0,110.72,108.0,109.4,1790858
2007-11-06,LMT,109.42,109.99,107.79,109.45,2176044
2007-11-07,LMT,109.64,110.08,107.9,108.08,1996434
2007-11-08,LMT,108.0,108.89,105.87,107.18,2773836
2007-11-09,LMT,110.2,110.74,105.98,109.35,3166050
2007-11-12,LMT,109.38,110.38,107.65,108.73,2574713
2007-11-13,LMT,109.09,112.34,108.99,112.25,3197860
2007-11-14,LMT,112.57,113.0,110.82,111.9,3077429
2007-11-15,LMT,111.68,112.5,110.81,112.08,2405528
2007-11-16,LMT,113.0,113.0,110.05,111.37,2274451
2007-11-19,LMT,111.37,112.51,110.45,111.23,3037365
2007-11-20,LMT,111.3,111.7,108.26,109.87,2925356
2007-11-21,LMT,109.18,109.73,108.28,108.28,2295853
2007-11-22,LMT,109.18,109.73,108.28,108.28,2295853
2007-11-23,LMT,108.78,111.09,108.17,111.01,850777
2007-11-26,LMT,110.79,112.04,107.8,108.17,1939414
2007-11-27,LMT,108.51,109.8,107.22,108.24,2871275
2007-11-28,LMT,109.27,111.56,108.0,111.23,2461716
2007-11-29,LMT,110.41,112.93,109.91,112.0,2075604
2007-11-30,LMT,113.12,113.5,110.13,110.67,2282847
2007-12-03,LMT,111.45,111.93,109.77,109.78,2252413
2007-12-04,LMT,109.34,110.71,108.96,109.12,2065109
2007-12-05,LMT,109.91,111.25,108.81,109.14,1886151
2007-12-06,LMT,109.1,110.52,107.78,110.37,2072235
2007-12-07,LMT,109.1,110.52,107.78,110.37,2072235
2007-12-10,LMT,111.54,111.54,109.82,110.72,1250161
2007-12-11,LMT,110.8,111.5,107.53,107.76,1833456
2007-12-12,LMT,108.01,109.7,107.32,108.31,3086437
2007-12-13,LMT,107.74,109.78,107.74,109.29,1717207
2007-12-14,LMT,108.5,111.13,108.3,110.48,1957600
2007-12-17,LMT,109.78,110.74,108.78,108.91,2100079
2007-12-18,LMT,109.48,110.21,107.5,108.18,2603971
2007-12-19,LMT,108.94,108.94,107.03,108.25,2377348
2007-12-20,LMT,108.82,108.82,106.33,107.72,1835140
2007-12-21,LMT,108.76,110.53,108.36,110.48,2321769
2007-12-24,LMT,110.01,111.68,110.01,111.28,456771
2007-12-26,LMT,111.0,111.46,108.9,109.53,981976
2007-12-27,LMT,109.3,109.43,107.54,107.72,1209579
2007-12-28,LMT,108.84,108.84,106.35,106.78,1491259
2007-12-31,LMT,106.31,107.25,105.26,105.26,1329426
2008-01-02,LMT,105.77,107.2,104.94,105.35,2752841
2008-01-03,LMT,105.49,108.81,104.71,107.93,2435977
2008-01-04,LMT,107.25,107.37,105.63,106.5,2319051
2008-01-07,LMT,107.36,107.94,104.93,106.26,2749415
2008-01-08,LMT,106.26,108.21,106.17,106.3,3160414
2008-01-09,LMT,106.88,108.77,106.42,108.53,2602343
2008-01-10,LMT,107.93,109.88,107.32,108.54,2639579
2008-01-11,LMT,107.58,110.25,107.5,109.46,3116996
2008-01-14,LMT,110.12,110.12,107.15,108.09,2724433
2008-01-15,LMT,106.97,108.63,106.38,106.81,3033553
2008-01-16,LMT,106.11,107.1,105.16,105.86,3042438
2008-01-17,LMT,105.97,107.12,101.93,102.15,3592579
2008-01-18,LMT,102.65,104.33,101.07,101.88,3291130
2008-01-22,LMT,97.01,102.18,90.44,101.02,4440441
2008-01-23,LMT,98.31,102.04,97.06,101.69,3977025
2008-01-24,LMT,102.74,106.81,102.11,105.9,3713506
2008-01-25,LMT,107.07,107.07,104.97,105.49,3280101
2008-01-28,LMT,105.43,107.05,105.43,106.87,2839352
2008-01-29,LMT,107.02,107.47,105.9,106.44,1993248
2008-01-30,LMT,106.92,108.45,106.27,106.53,2171899
2008-01-31,LMT,105.31,108.35,104.6,107.92,2894035
2008-02-01,LMT,108.17,109.8,106.87,108.12,2658154
2008-02-04,LMT,106.75,110.15,106.01,109.78,2666678
2008-02-05,LMT,109.35,109.66,107.14,107.77,2364851
2008-02-06,LMT,108.72,108.72,105.18,105.6,2370478
2008-02-07,LMT,104.95,106.94,104.62,105.83,2980939
2008-02-08,LMT,105.82,106.26,104.76,105.76,1725788
2008-02-11,LMT,105.54,107.79,105.53,107.61,1583300
2008-02-12,LMT,108.06,108.06,106.6,107.21,2208866
2008-02-13,LMT,107.21,109.15,107.01,108.87,1871323
2008-02-14,LMT,108.74,109.5,106.6,107.1,1293221
2008-02-15,LMT,107.07,107.52,105.0,105.76,2095563
2008-02-19,LMT,106.76,108.0,105.81,107.34,1814758
2008-02-20,LMT,106.61,107.32,105.85,107.07,1270297
2008-02-21,LMT,107.24,107.94,104.74,105.0,2958701
2008-02-22,LMT,105.27,105.51,103.17,105.12,1678566
2008-02-25,LMT,105.27,105.51,103.17,105.12,1678566
2008-02-26,LMT,105.9,106.45,105.33,105.95,1712739
2008-02-27,LMT,105.4,106.72,105.11,105.36,1693766
2008-02-28,LMT,104.65,105.8,103.65,105.16,1833423
2008-02-29,LMT,104.0,104.33,102.87,103.2,1958828
2008-03-03,LMT,103.27,104.0,102.41,104.0,1731001
2008-03-04,LMT,102.6,104.09,102.13,103.72,1872867
2008-03-05,LMT,103.6,104.9,102.89,104.71,2059394
2008-03-06,LMT,103.4,104.93,103.4,104.15,1927584
2008-03-07,LMT,103.13,104.6,102.77,103.18,1736300
2008-03-10,LMT,102.29,103.01,100.15,100.32,2369790
2008-03-11,LMT,100.06,101.7,99.37,101.66,3281799
2008-03-12,LMT,102.0,102.18,100.12,100.45,1985286
2008-03-13,LMT,99.55,101.4,98.5,101.11,2132630
2008-03-14,LMT,101.98,102.68,99.01,100.54,2891686
2008-03-17,LMT,99.07,101.11,98.35,100.05,3285283
2008-03-18,LMT,101.75,101.75,99.91,101.55,3537992
2008-03-19,LMT,102.58,103.25,100.71,100.71,2353194
2008-03-20,LMT,100.85,101.85,98.45,100.05,3448803
2008-03-24,LMT,99.97,101.31,99.77,100.78,1710823
2008-03-25,LMT,101.27,102.29,100.0,102.0,1363786
2008-03-26,LMT,101.67,101.67,100.56,101.23,1361213
2008-03-27,LMT,101.6,101.6,99.9,100.04,1336534
2008-03-28,LMT,100.38,100.89,99.76,100.18,1552195
2008-03-31,LMT,100.34,100.61,98.44,99.3,2439310
2008-04-01,LMT,99.96,101.51,99.28,101.33,2039937
2008-04-02,LMT,101.22,102.0,100.03,100.21,2501448
2008-04-03,LMT,99.81,100.12,98.5,99.03,3389418
2008-04-04,LMT,99.54,101.34,99.0,100.81,2384782
2008-04-07,LMT,101.1,102.83,101.07,102.25,2555205
2008-04-08,LMT,102.25,104.14,102.25,103.49,2658367
2008-04-09,LMT,103.4,104.21,102.56,103.11,1530968
2008-04-10,LMT,102.98,103.32,102.35,102.81,1257923
2008-04-11,LMT,102.45,103.7,101.88,103.01,1492113
2008-04-14,LMT,103.18,104.08,102.77,103.32,1305377
2008-04-15,LMT,104.18,104.18,101.91,103.11,1955997
2008-04-16,LMT,103.12,104.65,103.0,104.65,2064854
2008-04-17,LMT,104.14,105.15,104.0,104.36,1303603
2008-04-18,LMT,105.69,106.46,105.09,106.24,1714796
2008-04-21,LMT,106.16,106.6,104.81,106.57,1482585
2008-04-22,LMT,103.88,105.25,103.18,103.79,2116257
2008-04-23,LMT,103.99,108.0,103.79,107.88,2638086
2008-04-24,LMT,107.17,107.53,105.87,106.6,1681153
2008-04-25,LMT,106.89,107.98,106.19,107.63,1203147
2008-04-28,LMT,107.01,108.31,106.41,106.65,1562476
2008-04-29,LMT,106.31,107.08,105.55,105.89,1510019
2008-04-30,LMT,106.15,107.29,105.59,106.04,1572331
2008-05-01,LMT,105.76,107.83,105.76,107.72,1428269
2008-05-02,LMT,108.45,108.45,105.78,106.93,1728770
2008-05-05,LMT,106.46,107.89,106.07,106.62,1691382
2008-05-06,LMT,106.23,106.95,105.7,106.53,1333973
2008-05-07,LMT,106.38,107.18,105.01,105.92,2051665
2008-05-08,LMT,106.11,106.55,105.31,105.84,1300476
2008-05-09,LMT,105.5,106.28,104.94,105.84,950304
2008-05-12,LMT,105.84,107.05,105.53,106.97,1100932
2008-05-13,LMT,107.23,108.66,107.23,108.5,1742152
2008-05-14,LMT,108.7,110.0,108.5,108.71,1853845
2008-05-15,LMT,108.98,109.23,108.08,109.06,1421244
2008-05-16,LMT,109.51,109.65,108.09,109.16,1778819
2008-05-19,LMT,108.98,110.6,108.5,109.94,1726196
2008-05-20,LMT,109.63,109.97,108.33,109.09,1489640
2008-05-21,LMT,109.08,109.99,106.82,106.95,1496553
2008-05-22,LMT,106.89,107.7,106.6,107.09,1173250
2008-05-23,LMT,107.25,108.67,106.95,107.42,1331026
2008-05-27,LMT,107.27,108.43,106.79,107.35,998776
2008-05-28,LMT,107.29,108.21,106.94,107.69,1639367
2008-05-29,LMT,107.7,108.91,106.32,108.61,1921660
2008-05-30,LMT,108.72,109.88,108.42,109.44,1804032
2008-06-02,LMT,109.23,109.87,108.09,109.16,1755138
2008-06-03,LMT,109.75,109.75,107.29,107.83,2360301
2008-06-04,LMT,107.32,109.09,107.32,108.49,1696012
2008-06-05,LMT,108.46,108.49,106.53,107.67,2504988
2008-06-06,LMT,106.98,106.98,103.7,103.75,3129878
2008-06-09,LMT,104.38,104.38,101.75,102.65,2801822
2008-06-10,LMT,102.12,104.05,101.67,102.98,1920945
2008-06-11,LMT,102.56,103.97,102.47,102.69,1794454
2008-06-12,LMT,102.99,105.37,102.69,102.79,1962982
2008-06-13,LMT,103.5,104.12,102.76,104.07,1961938
2008-06-16,LMT,102.4,103.79,102.31,102.55,1949079
2008-06-17,LMT,102.55,103.4,101.39,101.59,1437584
2008-06-18,LMT,101.15,102.44,100.72,100.96,1456904
2008-06-19,LMT,101.44,103.91,100.75,103.34,1829209
2008-06-20,LMT,102.98,103.34,101.24,102.07,2148345
2008-06-23,LMT,102.7,104.34,102.04,104.13,2122355
2008-06-24,LMT,103.55,104.84,103.55,103.94,1844489
2008-06-25,LMT,104.12,105.0,103.7,103.83,2661728
2008-06-26,LMT,103.24,103.61,99.5,99.5,2699710
2008-06-27,LMT,99.8,100.77,99.37,99.62,3265578
2008-06-30,LMT,99.65,99.75,97.8,98.66,3720472
2008-07-01,LMT,99.02,101.49,98.91,101.09,2881101
2008-07-02,LMT,101.55,102.28,100.07,100.3,1956017
2008-07-03,LMT,100.94,101.88,100.76,101.48,1659363
2008-07-07,LMT,101.71,103.66,101.37,102.62,3525010
2008-07-08,LMT,102.72,104.27,102.26,103.81,3712860
2008-07-09,LMT,104.13,104.13,102.31,102.31,2873842
2008-07-10,LMT,102.31,103.64,101.77,103.51,2665748
2008-07-11,LMT,102.54,103.73,101.5,102.68,2932839
2008-07-14,LMT,103.51,103.51,100.62,101.99,2145392
2008-07-15,LMT,101.38,102.74,100.78,101.65,3040712
2008-07-16,LMT,101.25,102.05,98.73,100.74,4298241
2008-07-17,LMT,100.81,101.48,98.01,100.26,3685806
2008-07-18,LMT,100.24,101.39,99.74,100.99,2327398
2008-07-21,LMT,100.82,102.34,100.4,101.59,2621596
2008-07-22,LMT,100.83,104.93,100.83,103.88,4131456
2008-07-23,LMT,103.9,107.43,103.42,106.84,2863446
2008-07-24,LMT,106.89,106.89,104.44,104.75,2716494
2008-07-25,LMT,105.54,105.8,104.5,104.62,1685372
2008-07-28,LMT,104.6,105.49,103.05,103.35,2653260
2008-07-29,LMT,102.78,104.5,102.78,103.92,1929232
2008-07-30,LMT,104.39,106.38,103.39,104.13,2264296
2008-07-31,LMT,103.68,105.75,103.4,104.33,1976268
2008-08-01,LMT,104.5,105.15,102.86,103.97,1688185
2008-08-04,LMT,104.0,105.75,103.73,104.6,1271126
2008-08-05,LMT,105.49,108.13,105.06,108.1,2648629
2008-08-06,LMT,107.9,107.98,106.16,107.39,2564809
2008-08-07,LMT,106.91,108.6,106.5,108.29,2253830
2008-08-08,LMT,107.95,112.06,107.6,112.06,3093689
2008-08-11,LMT,111.74,113.01,110.07,112.88,4044950
2008-08-12,LMT,112.82,114.41,111.98,114.39,4132396
2008-08-13,LMT,113.95,114.8,111.09,112.97,4197770
2008-08-14,LMT,112.55,113.72,111.02,113.18,2956759
2008-08-15,LMT,113.38,117.04,113.29,116.67,4938476
2008-08-18,LMT,116.73,116.73,114.02,115.25,3168910
2008-08-19,LMT,114.51,116.05,114.51,115.74,2727769
2008-08-20,LMT,115.81,115.81,113.02,114.25,4144768
2008-08-21,LMT,113.76,115.39,112.55,115.04,2237990
2008-08-22,LMT,115.35,115.98,114.24,115.77,2390407
2008-08-25,LMT,115.03,115.41,113.64,114.26,1679418
2008-08-26,LMT,114.53,115.69,113.69,115.59,1949385
2008-08-27,LMT,115.15,116.3,115.07,115.9,1845295
2008-08-28,LMT,116.03,120.3,115.8,119.59,3542063
2008-08-29,LMT,119.18,119.18,116.09,116.44,3841407
2008-09-02,LMT,117.6,118.18,116.17,117.44,3641561
2008-09-03,LMT,117.07,118.19,115.66,116.4,2291853
2008-09-04,LMT,115.81,116.0,112.95,113.82,2671575
2008-09-05,LMT,112.88,116.34,112.52,115.72,3306260
2008-09-08,LMT,118.01,119.95,115.55,117.83,2938265
2008-09-09,LMT,119.0,119.82,115.84,115.89,3019500
2008-09-10,LMT,116.37,116.37,113.8,114.09,3220033
2008-09-11,LMT,113.23,115.22,110.26,115.1,2328408
2008-09-12,LMT,115.0,117.27,114.45,117.27,2264331
2008-09-15,LMT,115.35,117.19,110.88,111.69,6069623
2008-09-16,LMT,110.09,113.3,106.12,112.03,5852809
2008-09-17,LMT,110.37,112.33,106.02,106.03,3924948
2008-09-18,LMT,106.74,114.89,106.51,113.82,4961307
2008-09-19,LMT,117.5,117.5,108.2,110.88,5833987
2008-09-22,LMT,109.76,111.5,106.2,108.2,2810983
2008-09-23,LMT,108.25,109.86,106.01,107.53,2678010
2008-09-24,LMT,107.66,109.11,106.58,107.65,1899362
2008-09-25,LMT,108.71,111.65,107.9,110.51,2357190
2008-09-26,LMT,109.37,112.87,107.01,112.55,2092539
2008-09-29,LMT,111.32,115.01,107.55,109.98,3425324
2008-09-30,LMT,110.26,112.31,108.19,109.67,3572696
2008-10-01,LMT,108.9,109.7,107.49,108.85,2879435
2008-10-02,LMT,108.2,109.61,102.87,104.27,3982257
2008-10-03,LMT,105.57,107.32,104.66,105.01,2879545
2008-10-06,LMT,103.31,105.12,101.35,102.62,3407036
2008-10-07,LMT,103.8,105.82,99.0,99.0,5151951
2008-10-08,LMT,97.02,101.48,96.0,98.0,5655520
